Vietnamese,English
ti?p,next
tình,love
?i,yeah
bên,beside
??ng,copper
vui,fun
?n,fine
gian,time
tâm,heart
c?u,rescue
??,topic
i,i
sinh,born
tr?,pay
b?,set
??u,even
máy,machine
vài,few
v?,taste
n??c,water
gi?ng,alike
?ánh,fight
x?y,happen
ch?i,play
trai,male
t?i,dark
c?nh,scene
câu,sentence
kia,there
ko,no
gi?,hold
hành,onion
vô,enter
k?t,conclude
b?i,by
hi?n,presently
gi?i,gender
v?a,fit
ti?ng,language
báo,newspaper
t??ng,thought
ch?,wait
lo,worry
??p,Pretty
hôm,day
viên,pellets
hình,image
?áng,worth
v?n,question
tr?ng,important
bình,jar
??,enough
oh,oh
cám,bran
l?n,big
sáng,bright
bác,uncle
lâu,long
th?n,god
s?,scared
bi?t,special
thông,pine
c?,neck
gi?i,prize
ph?,extra
th??ng,often
th??ng,love
v?,draw
cu?i,last
rõ,clearly
c?a,door
h?p,fit
trung,central
b?n,copy
dùng,use
ôi,Oh
tra,check
b?n,shoot
c?u,bridge
ba,three
h?i,festival
t,t
??i,team
tiên,fairy
thân,close
ch?y,run
thêm,more
??a,kid
thay,replace
mang,carry
quân,army
xác,body
??i,life
ng?,Sleep
tr?i,God
??i,change
nh?,small
liên,contact
t?i,sin
ngh?a,meaning
an,an
?i?n,electricity
dù,umbrella
bay,fly
n?,female
v?,guard
phát,broadcast
??i,opposite to
c,c
?êm,night
tr?,young
b?nh,sick
g?n,near the
hoàn,complete
tr??ng,school
??i,wait
tính,count
nh?,right?
??t,land
??ng,stand
ng?i,sit
trông,looks
chi?c,pcs
n,n
xa,distant
coi,watch
ch?ng,proof
?nh,image
k?,tell
khó,difficult
quy?t,decided
ch?u,bear
n?ng,power
t?p,practice
súng,gun
v?ng,hope
giá,price
ho?c,or
s?p,about to
xong,finished
t?,death
?àn,piano
s?n,available
ki?m,check
m?,open
cao,High
u?ng,drink
chuy?n,transfer
d?ng,stop
ít,little
d??i,below
?ình,family
ch?,owner
ch?n,select
?iên,crazy
v?t,object
th?,try
th?ng,system
ki?m,sword
m?t,eye
tr??ng,chief
k?,next
ph?n,part
bi?n,variable
lòng,heart
s?,monk
lo?i,type
m?nh,strong
thu?c,medicine
??u,fight
th?c,awake
d?,easy
v?,wife
d?ng,use
y,y
trái,left
quái,heck
phía,side
ti?n,advance
?au,painful
yeah,yeah
?i?m,point
l?c,force
sai,wrong
ng,ng
t?,bad
ch?n,definitely
qu?,fruit
kh?n,bastard
sàng,ready
quên,forget
la?,To be
phút,minute
minh,bright
gã,guy
m?ng,happy
k?,period
h?i,steam
a,a
chân,foot
kinh,terrible
tu?n,week
co?,Have
mua,buy
th?,defense
duy,only
trí,mind
tàu,ship
s?c,strength
trò,game
quy?n,rights
kìa,behold
m?i,each
quý,precious
ph?,street
bu?i,session
th?,letters
h?,lower
bài,post
??t,put
tháng,month
hôn,kiss
mai,tomorrow
tài,talent
di?n,acting
to,big
the,the
phép,permission
n?i,floating
pháp,France
khách,guest
?ôi,pair
hi?u,signal
m?c,wear
v?,Vu
yên,quiet
qu?c,country
máu,blood
h?,system
??n,single
khí,gas
khi?n,cause
phá,break
t?c,custom
thú,animal
tu?i,year old
dân,people
chu?n,standard
t?o,create
cá,fish
lu?t,law
d?n,guide
ph?c,dress
nhiêu,much
mau,quickly
hi?m,dangerous
bàn,table
hoàng,royal
??,degree
m?ng,network
sách,book
chó,dog
